
Room Setting Templates: default, cc-inside, cc-outside, cl-darksun, cl-pitchblack, dm-conflux, dm-itterator, dm-leg, dm-underhang, dm-wall, ds-inside, gw-inside, gw-outside, hi-inside, hi-outside, hr-end, hr-hell, hr-hellnew, hr-hellupper, lc-inside, lc-outside, lc-tower, lf-farms, lf-underground, lm-fog, lm-itterator, lm-leg, lm-sewer, lm-wall, ms-aerie, ms-array, ms-artery, ms-comp, ms-deep, ms-mech, ms-sewers, ms-surface, ms-vents, oe-cave, oe-ruins, oe-ruinsinside, oe-swamp, rm-amnesia, rm-corrupt, rm-dead, rm-linear, rm-lympathic, sb-subway, sh-darksun, sh-pitchblack, si-inside, si-outside, sl-fog, sl-sewer, ss-corrupt, su-inside, su-outside, ug-inside, uw-leg, uw-underhang, uw-wall, vs-filter, vs-pipes, vs-sewer, vs-surface, warc-cistern, warc-glassfields, warc-roottunnels, wbla-badlandssurface, wdsr-rot, wgwr-rot, whir-rot, wpta-spireinside, wpta-spireoutside, wrra-inside, wrra-insideship, wrra-outside, wrra-outsideship, wskb-inside, wskb-outside, wskc-inside, wskc-outside, wskd-inside, wskd-outside, wssr-calcified, wsur-rot, wtda-desert, wtdb-tract, wvwa-pillars, wvwa-waterways
Subregion: Outskirts
Room_Attr: 100K_GW_wonk_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Like,Vulture-Avoid,KingVulture-Avoid,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_GW_wrayk_1: PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,CyanLizard-Like,RedLizard-Like,Scavenger-Stay,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_ariesclient_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Snail-Forbidden,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_chlordeofmany_1: Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_creativegamer03_1: GreenLizard-Like,PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,CyanLizard-Like,RedLizard-Like,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,MirosBird-Forbidden,DropBug-Like,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,BigMoth-Avoid,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_creativegamer03_2: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_dedniko_1: Scavenger-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_dododecalogist_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_dragonly44_1: Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_erm424242_1: Vulture-Avoid,KingVulture-Avoid,MirosBird-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_ethanwantsfood_1: Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Avoid,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_gamerguy35_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Forbidden,Scavenger-Forbidden,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,DropBug-Avoid,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_haysen_1: GreenLizard-Like,PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,CyanLizard-Like,RedLizard-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_inspectnerd_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_irri_1: GreenLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_katolato_1: GreenLizard-Like,PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,CyanLizard-Like,RedLizard-Like,MirosBird-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_katolato_2: GreenLizard-Like,PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,CyanLizard-Like,RedLizard-Like,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,MirosBird-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_lipuccka_1: GreenLizard-Forbidden,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_lkelly10_1: Scavenger-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,DropBug-Avoid,BigEel-Forbidden,Deer-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_luckykitkat_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Forbidden,Vulture-Avoid,KingVulture-Avoid,MirosBird-Forbidden,DropBug-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_lunatav_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Forbidden,CyanLizard-Avoid,RedLizard-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,MotherSpider-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_solaristheworstcatever_1: Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_tapok109_1: GreenLizard-Like,PinkLizard-Like,BlueLizard-Like,WhiteLizard-Like,BlackLizard-Like,YellowLizard-Like,CyanLizard-Like,RedLizard-Like,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,MirosBird-Forbidden,DropBug-Like,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Like,ZoopLizard-Like,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_totallydutch_1: PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_totallydutch_2: GreenLizard-Forbidden,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,MirosBird-Forbidden,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_trearilt_1: GreenLizard-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_user23848_1: SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,SmallNeedleWorm-Like,BigNeedleWorm-Like,BigEel-Forbidden,Deer-Forbidden,BigMoth-Avoid,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HI_wtfmagnimmepac3_1: PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,MirosBird-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HR_dragonly44_1: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HR_dragonpropaganda_1: Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_HR_flanace_1: GreenLizard-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LC_ariesclient_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Like,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LC_blobtic73391_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LC_frogturtle56_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LC_gonterhaoz_1: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LC_iyonkoi_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Like,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_alduris_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,YellowLizard-Forbidden,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_ariesclient_1: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_chromaticalblight_1: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_chromaticalblight_2: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_chromaticalblight_3: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Stay,SpitLizard-Forbidden,ZoopLizard-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_crimsont04_1: CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_haysen_1: Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_lwrcsv_1: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Like,Centipede-Like,RedCentipede-Like,Centiwing-Like,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_mk-0_1: BlackLizard-Forbidden,Scavenger-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Stay,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_myrmice_1: GreenLizard-Like,Scavenger-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,BigEel-Forbidden,Deer-Stay,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_slithersss_1: GreenLizard-Avoid,Scavenger-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_tapok109_1: GreenLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LF_totallydutch_1: GreenLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LM_av3ry_1: Scavenger-Forbidden,Vulture-Avoid,KingVulture-Avoid,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LM_av3ry_2: GreenLizard-Forbidden,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Avoid,ZoopLizard-Avoid,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
Room_Attr: 100K_LM_av3ry_3: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,BigEel-Forbidden,Deer-Forbidden,SpitLizard-Forbidden,ZoopLizard-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,BigMoth-Forbidden,SkyWhale-Forbidden,ScavengerTemplar-Forbidden,ScavengerDisciple-Forbidden,
